I'm 19.	J'ai 19 ans.
We're alone.	Nous sommes seuls.
We're alone.	Nous sommes seules.
We're angry.	Nous sommes en colère.
We're armed.	Nous sommes armés.
We're armed.	Nous sommes armées.
We're bored.	Nous nous ennuyons.
We're bored.	On s'emmerde.
We're broke.	Nous sommes fauchés.
We're broke.	Nous sommes fauchées.
We're dying.	Nous sommes en train de mourir.
We're happy.	Nous sommes heureux.
We're ready.	Nous sommes prêtes.
We're saved.	Nous sommes sauvés.
We're saved.	Nous sommes sauvées.
We're smart.	Nous sommes intelligents.
We're smart.	Nous sommes intelligentes.
We're sorry.	Nous sommes désolés.
We're sorry.	Nous sommes désolées.
We're stuck.	Nous sommes coincés.
We're stuck.	Nous sommes coincées.
We're tired.	Nous sommes fatigués.
We're tired.	Nous sommes fatiguées.
We're twins.	Nous sommes jumeaux.
We're twins.	Nous sommes jumelles.
You're cool.	T'es sympa.
You're cool.	T'es décontracté.
You're fair.	Tu es juste.
You're fair.	Vous êtes justes.
You're fine.	Tu vas bien.
You're free.	Vous êtes libres.
You're good.	Vous êtes bons.
You're good.	Vous êtes bonnes.
You're lazy.	Vous êtes paresseuses.
You're lost.	Tu es perdu.
You're lost.	Tu es perdue.
You're nice.	Vous êtes sympas.
You're nuts!	Tu es fou !
You're nuts!	T'es dingue !
You're nuts!	Vous êtes dingues !
You're nuts!	T'es givré !
You're nuts!	T'es givrée !
You're nuts!	Vous êtes givrés !
You're nuts!	Vous êtes givrées !
You're rude.	Tu es grossier.
You're rude.	Vous êtes grossiers.
You're rude.	Vous êtes grossière.
You're rude.	Vous êtes grossières.
You're safe.	Tu es sauf.
You're safe.	Vous êtes saufs.
You're safe.	Vous êtes sauve.
You're thin.	Vous êtes minces.
He is a poet.	C'est un poète.
He is cranky.	Il est excentrique.
He is eating.	Il est en train de manger.
He is heroic.	Il est héroïque.
He's English.	Il est Anglais.
He's a bigot.	C'est un bigot.
He's a bigot.	C'est un sectaire.
He's a bigot.	C'est un fanatique.
He's a bigot.	C'est un illuminé.
He's in pain.	Il souffre.
He's out now.	Il est actuellement à l'extérieur.
He's so cute.	Il est si mignon !
I'm a coward.	Je suis un couard.
I'm a coward.	Je suis un lâche.
I'm a doctor.	Je suis médecin.
I'm a doctor.	Je suis toubib.
I'm a farmer.	Je suis fermier.
I'm a farmer.	Je suis agriculteur.
I'm a farmer.	Je travaille dans ma ferme.
I'm a purist.	Je suis un puriste.
I'm addicted.	Je suis drogué.
I'm addicted.	Je suis accro.
I'm addicted.	J'ai une assuétude.
I'm all ears.	Je suis tout ouïe.
I'm an adult.	Je suis adulte.
I'm an agent.	Je suis un agent.
I'm bleeding.	Je suis en train de saigner.
I'm confused.	Je me mélange les pinceaux.
I'm creative.	Je suis créatif.
I'm creative.	Je suis créative.
I'm cultured.	Je suis cultivé.
I'm cultured.	Je suis cultivée.
I'm divorced.	Je suis divorcé.
I'm divorced.	Je suis divorcée.
I'm drowning.	Je suis en train de me noyer.
I'm eighteen.	J'ai dix-huit ans.
I'm faithful.	Je suis fidèle.
I'm famished.	Je suis affamé !
I'm fearless.	Je suis intrépide.
I'm fighting.	Je me bats.
I'm finished.	J'ai terminé.
I'm freezing.	Je suis gelé.
I'm grounded.	Je suis cloué.
I'm grounded.	Je suis clouée.
I'm gullible.	Je suis crédule.
I'm homesick.	J'ai le mal du pays.
I'm hungover.	J'ai la gueule de bois.
I'm in Paris.	Je suis à Paris.
I'm innocent.	Je suis innocent.
I'm innocent.	Je suis innocente.
I'm innocent.	Je suis ingénu.
I'm innocent.	Je suis ingénue.
I'm involved.	Je suis impliqué.
I'm involved.	Je suis impliquée.
I'm managing.	Je m'en sors.
I'm new here.	Je suis nouveau, ici.
I'm no rebel.	Je ne suis pas un rebelle.
I'm no saint.	Je ne suis pas un saint.
I'm no saint.	Je ne suis pas une sainte.
I'm not deaf.	Je ne suis pas sourd.
I'm not deaf.	Je ne suis pas sourde.
I'm not dumb.	Je ne suis pas abruti.
I'm not dumb.	Je ne suis pas abrutie.
I'm not evil.	Je ne suis pas mauvais.
I'm not hurt.	Je ne suis pas blessé.
I'm not hurt.	Je ne suis pas blessée.
I'm not mean.	Je ne suis pas méchant.
I'm not mean.	Je ne suis pas méchante.
I'm not sure.	Je n'en suis pas certaine.
I'm off-duty.	Je ne suis pas en service.
I'm offended.	Je suis offensé.
I'm offended.	Je suis offensée.
I'm outraged.	Je suis indigné.
I'm outraged.	Je suis indignée.
I'm powerful.	Je suis puissant.
I'm powerful.	Je suis puissante.
I'm prepared.	Je suis prêt.
I'm prepared.	Je suis préparée.
I'm prepared.	Je suis préparé.
I'm punctual.	Je suis ponctuel.
I'm punctual.	Je suis ponctuelle.
I'm rational.	Je suis rationnel.
I'm rational.	Je suis rationnelle.
I'm reformed.	Je me suis amendé.
I'm reformed.	Je me suis amendée.
I'm reliable.	Je suis fiable.
I'm restless.	Je ne tiens pas en place.
I'm ruthless.	Je suis impitoyable.
I'm shooting.	Je tire.
I'm sleeping.	Je suis en train de dormir.
I'm so tired!	Je suis tellement las !
I'm speaking.	Je suis en train de parler.
I'm starving!	Je meurs de faim !
I'm starving.	J'ai la fringale.
I'm stubborn.	Je suis têtu.
I'm stubborn.	Je suis têtue.
I'm stubborn.	Je suis obstiné.
I'm stubborn.	Je suis obstinée.
I'm the boss.	C'est moi le patron.
I'm the boss.	C'est moi la patronne.
I'm thinking.	Je réfléchis.
I'm thorough.	Je suis minutieux.
I'm thorough.	Je suis minutieuse.
I'm thorough.	Je suis consciencieux.
I'm thorough.	Je suis consciencieuse.
I'm thrilled.	Je suis ravi.
I'm thrilled.	Je suis ravie.
I'm ticklish.	Je suis chatouilleux.
I'm ticklish.	Je suis chatouilleuse.
I'm too busy.	Je suis trop affairé.
I'm too busy.	Je suis trop affairée.
I'm truthful.	Je dis la vérité.
I'm unbiased.	Je suis impartial.
I'm unbiased.	Je suis impartiale.
I'm upstairs.	Je suis au-dessus.
I'm very fat.	Je suis très gros.
I'm worn out.	Je suis épuisé.
She is lucky.	Elle est chançarde.
She is sharp.	Elle est tranchante.
She is sharp.	Elle est affûtée.
She is wrong.	Elle a tort.
She shot him.	Elle lui tira dessus.
She shot him.	Elle le descendit.
She shrieked.	Elle a crié.
She shrieked.	Elle cria.
She stood up.	Elle se leva.
She sued him.	Elle l'a poursuivi en justice.
She sued him.	Elle le poursuivit en justice.
She sued him.	Elle lui a fait un procès.
She sued him.	Elle lui fit un procès.
They're boys.	Ce sont des garçons.
They're cold.	Ils sont froids.
They're cold.	Elles sont froides.
They're cops.	Ce sont des flics.
They're cute.	Ils sont mignons.
They're cute.	Elles sont mignonnes.
They're dead.	Ils sont décédés.
They're dead.	Elles sont décédées.
They're done.	Ils ont terminé.
They're gone.	Ils sont partis.
They're gone.	Elles sont parties.
They're mine.	Ils sont à moi.
They're mine.	Ils sont miens.
They're mine.	Ce sont les miennes.
We are Arabs.	Nous sommes arabes.
We're a team.	Nous sommes une équipe.
We're adults.	Nous sommes des adultes.
We're all OK.	Nous allons tous bien.
We're at war.	Nous sommes en guerre.
We're biased.	Notre point de vue est biaisé.
We're biased.	Nous avons des préjugés.
We're buying.	Nous achetons.
We're closed.	Nous sommes fermés.
We're coming.	Nous venons.
We're dating.	Nous sortons ensemble.
We're doomed.	Nous sommes condamnés.
We're hiding.	Nous nous cachons.
We're inside.	Nous sommes à l'intérieur.
We're joking.	Nous plaisantons.
We're losing.	Nous perdons.
We're moving.	Nous sommes en train de bouger.
We're normal.	Nous sommes normaux.
We're normal.	Nous sommes normales.
We're pooped.	Nous sommes crevés.
We're pooped.	Nous sommes crevées.
We're ruined.	Nous sommes ruinés.
We're ruined.	Nous sommes ruinées.
We're shaken.	Nous sommes remués.
We're shaken.	Nous sommes remuées.
We're sneaky.	Nous sommes sournoises.
We're strong.	Nous sommes forts.
We're strong.	Nous sommes fortes.
We're trying.	Nous essayons.
You're bossy.	Tu joues au chef.
You're cruel.	Tu es cruelle.
You're cruel.	Tu es cruel.
You're cruel.	Vous êtes cruelles.
You're cruel.	Vous êtes cruels.
You're early.	Tu viens tôt.
You're early.	Vous êtes matinal.
You're early.	Vous êtes matinale.
You're fired.	Tu es viré.
You're fired.	Tu es licencié.
You're first.	Tu passes en premier.
You're funny.	T'es marrante.
You're funny.	Vous êtes marrants.
You're funny.	Vous êtes marrantes.
You're fussy.	Tu fais des manières.
You're fussy.	Vous faites des manières.
You're gross!	Tu es malpoli !
You're lying!	Tu mens !
You're lying!	Vous mentez !
You're moody.	Tu es lunatique.
You're naive.	Tu es naïf.
You're naive.	Tu es naïve.
You're naive.	Vous êtes naïfs.
You're naive.	Vous êtes naïves.
You're silly.	Tu es idiot.
You're silly.	Vous êtes idiots.
You're silly.	Vous êtes idiotes.
You're stuck.	T'es planté.
You're stuck.	T'es plantée.
You're stuck.	Vous êtes plantés.
You're stuck.	Vous êtes plantées.
You're tough.	Vous êtes durs.
You're tough.	Vous êtes dures.
You're upset.	Tu es contrariée.
You're upset.	Tu es contrarié.
You're weird.	Tu es bizarre.
You're weird.	Vous êtes bizarres.
You're wrong.	Tu es dans l'erreur.
You're young.	Vous êtes jeunes.
He is British.	Il est Britannique.
He is a thief.	C'est un voleur.
He is foolish.	Il est idiot.
He is my type!	Il est mon genre !
He is out now.	Il est actuellement sorti.
He is reading.	Il est en train de lire.
He is running.	Il court.
He is skating.	Il fait du patin.
He is skating.	Il patine.
He's a grouch.	C'est un rouspéteur.
He's a jesuit.	Il est jésuite.
He's a senior.	C'est un aîné.
He's a senior.	C'est un ancien.
He's a tycoon.	C'est un magnat.
He's adorable.	Il est adorable.
He's after me.	Il est derrière moi.
He's after me.	Il est après moi.
He's after me.	Il est après mes fesses.
He's after me.	Il me poursuit.
He's annoying.	Il est embêtant.
He's demented.	Il est fou.
He's in Tokyo.	Il est à Tokyo.
He's insecure.	Il est peu sûr de lui.
He's insecure.	Il manque de confiance en lui.
He's ruthless.	Il est sans pitié.
He's studying.	Il étudie.
He's studying.	Il est en train d'étudier.
He's too slow.	Il est trop lent.
He's your son.	Il est ton fils.
He's your son.	C'est votre fils.
I am American.	Je suis américain.
I am American.	Je suis américaine.
I am Japanese.	Je suis Japonais.
I am a Muslim.	Je suis musulman.
I am a Muslim.	Je suis musulmane.
I am a runner.	Je suis un coureur.
I am diabetic.	Je suis diabétique.
I'm a student.	Je suis étudiant.
I'm a teacher.	Je suis professeur.
I'm a teacher.	Je suis enseignante.
I'm adaptable.	Je m'adapte.
I'm afraid so.	J'en ai peur.
I'm all yours.	Je suis toute à toi.
I'm ambitious.	Je suis ambitieuse.
I'm ambitious.	Je suis ambitieux.
I'm an artist.	Je suis un artiste.
I'm an orphan.	Je suis orphelin.
I'm attentive.	Je suis attentive.
I'm attentive.	Je suis attentif.
I'm available.	Je suis disponible.
I'm beautiful.	Je suis belle.
I'm concerned.	Je suis préoccupé.
I'm concerned.	Je suis préoccupée.
I'm confident.	J'ai confiance.
I'm contented.	Me voilà satisfait.
I'm contented.	Me voilà satisfaite.
I'm convinced.	J'en suis convaincu.
I'm depressed.	Je suis déprimé.
I'm desperate.	Je suis désespéré.
I'm desperate.	Je suis désespérée.
I'm different.	Je suis différente.
I'm disgusted.	Je suis dégoûté.
I'm disgusted.	Je suis dégoûtée.
I'm easygoing.	Je suis facile à vivre.
I'm exhausted.	Je suis épuisée.
I'm exhausted.	Je suis vanné.
I'm exhausted.	Je suis vannée.
I'm exhausted.	Je suis fourbu.
I'm exhausted.	Je suis crevée.
I'm forgetful.	Je suis distrait.
I'm forgetful.	Je suis distraite.
I'm forgetful.	Je suis étourdi.
I'm forgetful.	Je suis étourdie.
I'm home, Tom.	Je suis chez moi, Tom.
I'm hung over.	J'ai mal au cœur.
I'm impatient.	Je suis impatient.
I'm impatient.	Je suis impatiente.
I'm important.	Je suis important.
I'm impressed.	Je suis impressionnée.
I'm impulsive.	Je suis impulsif.
I'm impulsive.	Je suis impulsive.
I'm in Boston.	Je suis à Boston.
I'm in danger.	Je suis en danger.
I'm intrigued.	Je suis intrigué.
I'm intrigued.	Je suis intriguée.
I'm intrigued.	Cela m'intrigue.
I'm just lazy.	Je suis juste paresseux.
I'm listening.	J'écoute.
I'm motivated.	Je suis motivée.
I'm motivated.	Je suis motivé.
I'm no expert.	Je ne suis pas un expert.
I'm not a fan.	Je ne fais pas partie de ses admirateurs.
I'm not a fan.	Je ne fais pas partie de leurs admirateurs.
I'm not going.	Je ne m'y rends pas.
I'm not happy.	Je ne suis pas heureuse.
I'm not happy.	Je ne suis pas contente.
I'm not obese.	Je ne suis pas obèse.
I'm not short.	Je ne suis pas petite.
I'm not tired.	Je ne suis pas fatiguée.
I'm observant.	Je suis observateur.
I'm observant.	Je suis observatrice.
I'm observant.	Je suis respectueux.
I'm observant.	Je suis respectueuse.
I'm on a diet.	Je suis au régime.
I'm on my way.	Je suis en chemin.
I'm on my way.	Je suis en route.
I'm plastered.	Je suis bourré.
I'm powerless.	Je suis désarmé.
I'm powerless.	Je suis désarmée.
I'm realistic.	Je suis réaliste.
I'm resentful.	J'éprouve du ressentiment.
I'm resilient.	Je suis endurant.
I'm resilient.	Je suis endurante.
I'm resilient.	Je suis tenace.
I'm satisfied.	Je suis satisfait.
I'm saying no.	Je dis non.
I'm sensitive.	Je suis sensible.
I'm surprised.	Je suis surpris.
I'm surprised.	Je suis surprise.
I'm surviving.	Je survis.
I'm terrified.	Je suis terrifié.
I'm terrified.	Je suis terrifiée.
I'm uninsured.	Je ne suis pas assuré.
I'm uninsured.	Je ne suis pas assurée.
I'm unmarried.	Je suis célibataire.
I'm voting no.	Je vote non.
I’m falling.	Je tombe.
She is French.	Elle est française.
She is a twin.	C'est une jumelle.
She is active.	Elle est active.
She is crying.	Elle pleure.
She is gentle.	Elle est gentille.
She seems sad.	Elle a l'air triste.
She's a cutie.	C'est une beauté.
She's a model.	C'est un mannequin.
She's awesome.	Elle est super.
They're Asian.	Ils sont asiatiques.
They're alive.	Ils sont en vie.
They're awake.	Ils sont éveillés.
They're awake.	Elles sont éveillées.
They're brave.	Ils sont courageux.
They're brave.	Elles sont courageuses.
They're brave.	Ils n'ont pas froid aux yeux.
They're clean.	Ils sont propres.
They're crazy.	Ils sont fous.
They're crazy.	Elles sont folles.
They're drunk.	Ils sont saouls.
They're drunk.	Elles sont saoules.
They're happy.	Elles sont heureuses.
They're lying.	Ils mentent.
They're small.	Ils sont petits.
They're small.	Elles sont petites.
They're spies.	Ce sont des espions.
They're spies.	Ce sont des espionnes.
They're there.	Ils sont là.
We're a group.	Nous formons un groupe.
We're anxious.	Nous sommes anxieux.
We're baffled.	Nous sommes perplexes.
We're careful.	Nous sommes prudents.
We're careful.	Nous sommes prudentes.
We're certain.	Nous sommes certains.
We're certain.	Nous sommes certaines.
We're cousins.	Nous sommes cousines.
We're engaged.	Nous sommes fiancés.
We're fasting.	Nous faisons la diète.
We're friends.	Nous sommes amis.
We're friends.	Nous sommes amies.
We're in love.	Nous nous aimons.
We're in love.	Nous sommes amoureux.
We're in love.	Nous sommes amoureuses.
We're in luck.	Nous sommes veinards.
We're in luck.	Nous sommes veinardes.
We're in pain.	Nous souffrons.
We're in sync.	Nous sommes synchronisés.
We're in sync.	Nous sommes synchronisées.
We're in town.	Nous sommes en ville.
We're jealous.	Nous sommes jalouses.
We're married.	Nous sommes mariés.
We're relaxed.	Nous sommes détendus.
We're relaxed.	Nous sommes détendues.
We're serious.	Nous sommes sérieuses.
We're shocked.	Nous sommes choqués.
We're shocked.	Nous sommes choquées.
We're sincere.	Nous sommes sincères.
We're sinking.	Nous coulons.
We're sinking.	Nous sommes en train de couler.
We're sloshed.	Nous sommes bourrés.
We're sloshed.	Nous sommes bourrées.
We're smashed.	Nous sommes bourrés.
We're special.	Nous sommes spéciaux.
We're stalled.	Nous sommes à l'arrêt.
We're starved.	Nous sommes affamés.
We're starved.	Nous sommes affamées.
We're staying.	Nous restons.
We're stuffed.	Nous sommes gavés.
We're stuffed.	Nous sommes gavées.
We're stunned.	Nous sommes sidérés.
We're stunned.	Nous sommes sidérées.
We're touched.	Nous sommes touchés.
We're touched.	Nous sommes touchées.
We're trapped!	Nous sommes piégés !
We're trapped!	Nous sommes piégées !
We're unhappy.	Nous ne sommes pas satisfaits.
We're unhappy.	Nous ne sommes pas satisfaites.
We're unlucky.	Nous sommes malchanceux.
We're unlucky.	Nous sommes malchanceuses.
We're useless.	Nous sommes inutiles.
We're waiting.	Nous sommes en train d'attendre.
We're winners.	Nous sommes des gagneurs.
We're winning.	Nous sommes en train de gagner.
You are sharp.	Tu es malin.
You are wrong.	Vous avez tort.
You're a doll!	Tu es un amour !
You're a liar.	Vous êtes une menteuse.
You're a snob.	Tu es snob.
You're biased.	Tu es partiale.
You're biased.	Tu es partial.
You're boring.	Vous m'ennuyez.
You're boring.	Tu m'ennuies.
You're bright.	Tu es brillant.
You're bright.	Tu es brillante.
You're bright.	Vous êtes brillants.
You're bright.	Vous êtes brillantes.
You're clever.	Tu es malin.
You're clever.	Tu es maline.
You're clever.	Vous êtes malins.
You're clever.	Vous êtes malines.
You're crafty.	Vous êtes rusé.
You're crafty.	Tu es rusée.
